250	0.965
251	0.964
252	0.965
253	0.965
254	0.966
255	0.967
256	0.967
257	0.967
258	0.966
259	0.968
260	0.968
261	0.968
262	0.968
263	0.969
264	0.969
265	0.970
266	0.969
267	0.970
268	0.970
269	0.970
270	0.969
271	0.969
272	0.970
273	0.971
274	0.971
275	0.972
276	0.972
277	0.972
278	0.974
279	0.974
280	0.974
281	0.974
282	0.974
283	0.975
284	0.976
285	0.977
286	0.978
287	0.978
288	0.980
289	0.980
290	0.979
291	0.979
292	0.980
293	0.981
294	0.980
295	0.981
296	0.981
297	0.981
298	0.981
299	0.981
300	0.981
301	0.983
302	0.982
303	0.981
304	0.981
305	0.983
306	0.983
307	0.982
308	0.982
309	0.982
310	0.982
311	0.983
312	0.983
313	0.983
314	0.983
315	0.982
316	0.981
317	0.981
318	0.982
319	0.983
320	0.982
321	0.981
322	0.981
323	0.982
324	0.982
325	0.982
326	0.982
327	0.982
328	0.982
329	0.982
330	0.983
331	0.982
332	0.982
333	0.982
334	0.982
335	0.983
336	0.983
337	0.984
338	0.984
339	0.983
340	0.983
341	0.983
342	0.984
343	0.984
344	0.984
345	0.985
346	0.985
347	0.985
348	0.985
349	0.985
350	0.985
351	0.985
352	0.985
353	0.985
354	0.985
355	0.986
356	0.986
357	0.986
358	0.985
359	0.985
360	0.985
361	0.985
362	0.986
363	0.986
364	0.986
365	0.986
366	0.987
367	0.986
368	0.986
369	0.986
370	0.986
371	0.986
372	0.987
373	0.986
374	0.985
375	0.986
376	0.987
377	0.987
378	0.986
379	0.986
380	0.986
381	0.985
382	0.986
383	0.985
384	0.985
385	0.986
386	0.987
387	0.987
388	0.987
389	0.987
390	0.987
391	0.987
392	0.987
393	0.987
394	0.987
395	0.987
396	0.987
397	0.987
398	0.987
399	0.988
400	0.988
401	0.987
402	0.988
403	0.988
404	0.988
405	0.988
406	0.987
407	0.988
408	0.988
409	0.988
410	0.988
411	0.988
412	0.988
413	0.988
414	0.987
415	0.988
